Original Sentence,Triple-Fact 1,Triple-Fact 10,Triple-Fact 11,Triple-Fact 12,Triple-Fact 13,Triple-Fact 14,Triple-Fact 15,Triple-Fact 16,Triple-Fact 17,Triple-Fact 18,Triple-Fact 19,Triple-Fact 2,Triple-Fact 20,Triple-Fact 21,Triple-Fact 22,Triple-Fact 23,Triple-Fact 24,Triple-Fact 25,Triple-Fact 26,Triple-Fact 27,Triple-Fact 3,Triple-Fact 4,Triple-Fact 5,Triple-Fact 6,Triple-Fact 7,Triple-Fact 8,Triple-Fact 9
Abdulmohsen Hamad Al-Bassam is a retired officer in the Royal Saudi Air Force and a former astronaut.,"Abdulmohsen Hamad Al-Bassam <b><font color=""red"">occupation</font></b> the Royal Saudi Air Force",,,,,,,,,,,"Abdulmohsen Hamad Al-Bassam <b><font color=""red"">type</font></b> a former astronaut",,,,,,,,,,,,,,,
"STS-50, carrying the first United States Microgravity Laboratory (USML), launched from the Kennedy Space Center, Florida, on June 25, 1992.","STS-50 <b><font color=""red"">landingSite</font></b> the Kennedy Space Center",,,,,,,,,,,"STS-50 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,"the Kennedy Space Center <b><font color=""red"">location</font></b> United States","the Kennedy Space Center <b><font color=""red"">headquarter</font></b> United States","Florida <b><font color=""red"">country</font></b> United States",,,,
"STS-38 launched at night from the Kennedy Space Center, Florida, on November 15, 1990.","STS-38 <b><font color=""red"">landingSite</font></b> the Kennedy Space Center",,,,,,,,,,,"STS-38 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,
"He also performed high speed taxi, braking, tailhook, takeoff, landing, flying qualities, performance and weapon systems tests in the F-4E aircraft.","F-4E <b><font color=""red"">type</font></b> aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,
"Carl Joseph Meade (Colonel, USAF) is a former NASA astronaut.","Carl Joseph Meade <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Carl Joseph Meade <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Solovyev's parents are Yakov Mikhailovich Solovyev (father), deceased in 1980 and Antonia Pavlovna Soloveva, who resides in Riga.","Solovyev <b><font color=""red"">birthPlace</font></b> Riga",,,,,,,,,,,,,,,,,,,,,,,,,,
"From February 11 to August 9, 1990, Colonel Solovyev accomplished a long-duration (179-day) flight aboard the station.","Solovyev <b><font color=""red"">rank</font></b> Colonel",,,,,,,,,,,,,,,,,,,,,,,,,,
"Solovyev's first spaceflight took place in 1988, lasted nine days and was performed as part of an international Soviet-Bulgarian crew composed of A.Y. Solovyev, B.P. Savinykh, and A. Aleksandrov, of Bulgaria.","Bulgaria <b><font color=""red"">type</font></b> place",,,,,,,,,,,,,,,,,,,,,,,,,,
"Anatoly Yakovlevich Solovyev (Russian: ???????? ????????? ????????; born January 16, 1948, in Riga - alternate spelling ""Solovyov"") is a retired Russian and Soviet cosmonaut and pilot.","Solovyov <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,"Anatoly Yakovlevich Solovyev <b><font color=""red"">birthPlace</font></b> Riga",,,,,,,,,"Solovyov <b><font color=""red"">nationality</font></b> Russian","Solovyov <b><font color=""red"">nationality</font></b> Russian",,,,,
STS-111 also brought home the Expedition 4 crew from their 6-1/2 month stay aboard the station.,"STS-111 <b><font color=""red"">expedition5Down</font></b> Expedition 4",,,,,,,,,,,"STS-111 <b><font color=""red"">expedition6Down</font></b> Expedition 4",,,,,,,,,"STS-111 <b><font color=""red"">expedition7Down</font></b> Expedition 4","Expedition 4 <b><font color=""red"">departureCraft</font></b> STS-111",,,,,
"After his flight, Perrin returned to France to work as support astronaut on the Automated Transfer Vehicle program.","Perrin <b><font color=""red"">nationality</font></b> France",,,,,,,,,,,"Perrin <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Upon graduating from EPNER, the French Test Pilot School, he worked on a variety of test programs while assigned to the Bretigny Test Center.","Bretigny <b><font color=""red"">country</font></b> French",,,,,,,,,,,,,,,,,,,,,,,,,,
"He entered the French cole polytechnique (Paris) in 1982 and graduated as ""Ingnieur Polytechnicien"" (engineering degree) in 1985.","cole polytechnique <b><font color=""red"">country</font></b> French",,,,,,,,,,,"French <b><font color=""red"">capital</font></b> Paris",,,,,,,,,"Paris <b><font color=""red"">country</font></b> French",,,,,,
"Philippe Perrin (Colonel, French Air Force) is a French test pilot and former CNES and European Space Agency astronaut.","Philippe Perrin <b><font color=""red"">rank</font></b> Colonel",,,,,,,,,,,"Philippe Perrin <b><font color=""red"">rank</font></b> French Air Force",,,,,,,,,"French Air Force <b><font color=""red"">country</font></b> French","Philippe Perrin <b><font color=""red"">nationality</font></b> French","former CNES <b><font color=""red"">headquarters</font></b> French","Philippe Perrin <b><font color=""red"">type</font></b> former CNES","Philippe Perrin <b><font color=""red"">type</font></b> astronaut",,
"After attending the traditional greeting ceremony at the airport in Karaganda, Kazakhstan, Borisenko boarded a plane to return to the training base in Star City, Russia.","Borisenko <b><font color=""red"">birthPlace</font></b> Russia",,,,,,,,,,,"Borisenko <b><font color=""red"">nationality</font></b> Russia",,,,,,,,,,,,,,,
"On the same day, the Soyuz TMA-21 capsule carrying Borisenko and his two crew mates, Alexander Samokutyaev and Ron Garan touched down (3:59:39 UTC) at 93 miles southeast of the city of Zhezkazgan in Kazakhstan.","Borisenko <b><font color=""red"">mission</font></b> Soyuz TMA-21",,,,,,,,,,,"Soyuz TMA-21 <b><font color=""red"">crew2Up</font></b> Borisenko",,,,,,,,,"Soyuz TMA-21 <b><font color=""red"">crewMembers</font></b> Borisenko","Ron Garan <b><font color=""red"">mission</font></b> Soyuz TMA-21","Ron Garan <b><font color=""red"">birthPlace</font></b> southeast","southeast <b><font color=""red"">type</font></b> the city","Zhezkazgan <b><font color=""red"">country</font></b> Kazakhstan",,
"Borisenko concluded his stay aboard the ISS, when his spaceship, Soyuz TMA-21 undocked from the Russian segment's Poisk module at 00:38 UTC on September 16,.","Borisenko <b><font color=""red"">mission</font></b> Soyuz TMA-21",,,,,,,,,,,"Soyuz TMA-21 <b><font color=""red"">crew2Up</font></b> Borisenko",,,,,,,,,"Soyuz TMA-21 <b><font color=""red"">crewMembers</font></b> Borisenko","Borisenko <b><font color=""red"">birthPlace</font></b> Russian","Borisenko <b><font color=""red"">nationality</font></b> Russian","Poisk <b><font color=""red"">country</font></b> Russian",,,
"Andrey then commanded Expedition 27 and continued in command of Expedition 28 until he handed over the duties to Flight Engineer Mike Fossum on September 15, 2011.","Expedition 27 <b><font color=""red"">nextMission</font></b> Expedition 28",,,,,,,,,,,"Expedition 28 <b><font color=""red"">previousMission</font></b> Expedition 27",,,,,,,,,"Mike Fossum <b><font color=""red"">mission</font></b> Expedition 28",,,,,,
"At 11:41 a.m. EDT Sunday, May 22, 2011, Dmitri Kondratyev who had been the commander of Expedition 27, conducted a change of command ceremony with Andrey Borisenko.","Dmitri Kondratyev <b><font color=""red"">mission</font></b> Expedition 27",,,,,,,,,,,"Expedition 27 <b><font color=""red"">crewMembers</font></b> Dmitri Kondratyev",,,,,,,,,"Borisenko <b><font color=""red"">mission</font></b> Expedition 27","Expedition 27 <b><font color=""red"">crewMembers</font></b> Borisenko",,,,,
"The Soyuz TMA-21 spacecraft carrying Borisenko, cosmonaut Aleksandr Samokutyayev and NASA astronaut Ron Garan launched on schedule from the Baikonur Cosmodrome's Gagarin's Start launch pad, at 23:18:20 UTC on April 4, 2011.","Borisenko <b><font color=""red"">mission</font></b> Soyuz TMA-21","Aleksandr Samokutyayev <b><font color=""red"">type</font></b> astronaut","Ron Garan <b><font color=""red"">type</font></b> NASA","Borisenko <b><font color=""red"">type</font></b> astronaut","Ron Garan <b><font color=""red"">type</font></b> astronaut","Gagarin <b><font color=""red"">launchSite</font></b> Baikonur Cosmodrome","Gagarin <b><font color=""red"">launchSite</font></b> Baikonur Cosmodrome",,,,,"Soyuz TMA-21 <b><font color=""red"">crew2Up</font></b> Borisenko",,,,,,,,,"Soyuz TMA-21 <b><font color=""red"">crewMembers</font></b> Borisenko","Soyuz TMA-21 <b><font color=""red"">crew1Up</font></b> Aleksandr Samokutyayev","Soyuz TMA-21 <b><font color=""red"">crewMembers</font></b> Aleksandr Samokutyayev","Aleksandr Samokutyayev <b><font color=""red"">mission</font></b> Soyuz TMA-21","Soyuz TMA-21 <b><font color=""red"">agency3Up</font></b> NASA","Ron Garan <b><font color=""red"">mission</font></b> Soyuz TMA-21","Soyuz TMA-21 <b><font color=""red"">launchSite</font></b> Baikonur Cosmodrome"
"Borisenko served as a flight engineer with the Expedition 27, the 27th long-duration mission to the International Space Station (ISS).","Borisenko <b><font color=""red"">mission</font></b> the Expedition 27",,,,,,,,,,,"the Expedition 27 <b><font color=""red"">crewMembers</font></b> Borisenko",,,,,,,,,"the Expedition 27 <b><font color=""red"">programme</font></b> the International Space Station","the Expedition 27 <b><font color=""red"">spaceStation</font></b> the International Space Station","the Expedition 27 <b><font color=""red"">programme</font></b> the International Space Station","the Expedition 27 <b><font color=""red"">spaceStation</font></b> the International Space Station",,,
"Andrei Ivanovich Borisenko (?????? ???????? ????????? - born April 17, 1964 in Leningrad, Russia) is a Russian cosmonaut.","Borisenko <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,,,"Borisenko <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,,,,,
"William R. Pogue Municipal Airport (FAA Code: OWP; ICAO Code: KOWP) in Sand Springs, Oklahoma is named in Pogue's honor.","William R. Pogue Municipal Airport <b><font color=""red"">city</font></b> Sand Springs",,,,,,,,,,,"William R. Pogue Municipal Airport <b><font color=""red"">owner</font></b> Sand Springs",,,,,,,,,"Sand Springs <b><font color=""red"">isPartOf</font></b> Oklahoma",,,,,,
"Pogue retired from the United States Air Force on September 1, 1975, and he is now retired from NASA.","Pogue <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pogue was pilot of Skylab 4 (third and final manned visit to the Skylab orbital workshop), launched November 16, 1973, and concluded February 8, 1974.","Pogue <b><font color=""red"">mission</font></b> Skylab 4",,,,,,,,,,,"Skylab 4 <b><font color=""red"">crew3Up</font></b> Pogue",,,,,,,,,"Skylab 4 <b><font color=""red"">crewMembers</font></b> Pogue","Skylab 4 <b><font color=""red"">before</font></b> Skylab","Skylab 4 <b><font color=""red"">previousMission</font></b> Skylab","Skylab <b><font color=""red"">after</font></b> Skylab 4","Skylab <b><font color=""red"">nextMission</font></b> Skylab 4",,
"He served as a member of the astronaut support crews for the Apollo 7, 11, and 14 missions.","crews <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
Pogue was one of the 19 astronauts selected by NASA in April 1966.,"Pogue <b><font color=""red"">type</font></b> astronauts",,,,,,,,,,,"Pogue <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,
He has gained proficiency in more than 50 types and models of American and British aircraft and was qualified as a civilian flight instructor.,"British <b><font color=""red"">populationPlace</font></b> American",,,,,,,,,,,,,,,,,,,,,,,,,,
"Strekalov was born on October 26, 1940 in Mytishchi near Moscow.","Strekalov <b><font color=""red"">birthPlace</font></b> Mytishchi",,,,,,,,,,,"Strekalov <b><font color=""red"">deathPlace</font></b> Moscow",,,,,,,,,,,,,,,
"His father, Dr. Neil W. Woodward Jr., resides in Oklahoma City, Oklahoma.","Oklahoma City <b><font color=""red"">isPartOf</font></b> Oklahoma",,,,,,,,,,,"Oklahoma <b><font color=""red"">capital</font></b> Oklahoma City",,,,,,,,,,,,,,,
"Neil W. Woodward III (born July 26, 1962 in Chicago, Illinois) is an American Naval officer and a former NASA astronaut.","Neil W. Woodward III <b><font color=""red"">rank</font></b> American Naval",,,,,,,,,,,"Neil W. Woodward III <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Neil W. Woodward III <b><font color=""red"">type</font></b> astronaut",,,,,,
"Bagian was the Veterans Health Administration (VHA) Chief Patient Safety Officer, and Director of the VA National Center for Patient Safety.","VHA <b><font color=""red"">location</font></b> National",,,,,,,,,,,"VA <b><font color=""red"">country</font></b> National",,,,,,,,,"Bagian <b><font color=""red"">nationality</font></b> National",,,,,,
Bagian was the first person to treat SMS with the drug Phenergan by intramuscular injection.,"Bagian <b><font color=""red"">type</font></b> person",,,,,,,,,,,"Phenergan <b><font color=""red"">type</font></b> drug",,,,,,,,,,,,,,,
"Bagian first flew on the crew of STS-29, which launched from Kennedy Space Center, Florida, aboard the Orbiter Discovery, on March 13, 1989.","Bagian <b><font color=""red"">mission</font></b> STS-29",,,,,,,,,,,"STS-29 <b><font color=""red"">crew5Up</font></b> Bagian",,,,,,,,,"STS-29 <b><font color=""red"">crewMembers</font></b> Bagian","STS-29 <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,
"A veteran of two space flights (STS-29 in 1989 and STS-40 in 1991), Bagian has logged over 337 hours in space.","Bagian <b><font color=""red"">mission</font></b> STS-29",,,,,,,,,,,"STS-29 <b><font color=""red"">crew5Up</font></b> Bagian",,,,,,,,,"STS-29 <b><font color=""red"">crewMembers</font></b> Bagian","Bagian <b><font color=""red"">mission</font></b> STS-40","STS-40 <b><font color=""red"">crew3Up</font></b> Bagian","STS-40 <b><font color=""red"">crewMembers</font></b> Bagian",,,
Bagian became a NASA astronaut in July 1980.,"Bagian <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"Upon graduating from Thomas Jefferson University in 1977, Bagian completed one year of general surgery residency with the Geisinger Medical Center in Danville, Pennsylvania.","1977 <b><font color=""red"">type</font></b> one year",,,,,,,,,,,,,,,,,,,,,,,,,,
"James Philip Bagian, MD, PE (born 22 February 1952 in Philadelphia), is an engineer and former NASA astronaut.","James Philip Bagian <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"STS-123 delivered the first module of the Japanese laboratory, Kib?, and the Canadian Dextre robot to the space station.","Canadian <b><font color=""red"">populationPlace</font></b> Japanese",,,,,,,,,,,,,,,,,,,,,,,,,,
Takao Doi visited the International Space Station in March 2008 as a member of the STS-123 crew.,"Takao Doi <b><font color=""red"">mission</font></b> STS-123",,,,,,,,,,,"STS-123 <b><font color=""red"">crewMembers</font></b> Takao Doi",,,,,,,,,"STS-123 <b><font color=""red"">crew6Up</font></b> Takao Doi",,,,,,
"Takao Doi (?? ??, Doi Takao, born September 18, 1954) is a Japanese astronaut and a veteran of two NASA space shuttle missions.","Takao Doi <b><font color=""red"">birthPlace</font></b> Japanese",,,,,,,,,,,"Takao Doi <b><font color=""red"">nationality</font></b> Japanese",,,,,,,,,"Takao Doi <b><font color=""red"">type</font></b> astronaut","Takao Doi <b><font color=""red"">type</font></b> NASA",,,,,
"Fifty-five major experiments conducted in the International Microgravity Laboratory-1 module were provided by investigators from eleven countries, and represented a broad spectrum of scientific disciplines.","eleven <b><font color=""red"">hometown</font></b> countries",,,,,,,,,,,,,,,,,,,,,,,,,,
"STS-42 Discovery launched from the Kennedy Space Center, Florida, on January 22, 1992.","STS-42 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
"STS-36 Atlantis launched from the Kennedy Space Center, Florida, on February 28, 1990.","STS-36 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
"STS-26 Discovery, the first mission to be flown after the Challenger accident, was launched from the Kennedy Space Center, Florida, on September 29, 1988.","STS-26 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
